seed,gate_mode,optimizer,step,S,examples,elapsed_seconds,log_loss,loss,q,p,u,v,x,w,m,g,h,rho,log_rho,m_rho,delta_min,delta_max,row_norm_max,table_movement,content_horizon,sg_balance,train_overwrite_min_probability,train_recall_min_probability,calibration_probability,certificate_valid,pair_count,train_R
0,learned,sgd,0,0.0,0,0.008933875011280179,-0.36651292058166496,0.6931471805599448,0.5,0.5,1.7,1.7,0.5413248546129181,0.0,0.25,2.9440867909212463,1.0,0.002764372035296034,-5.890941781810344,0.0006910930088240085,-1.817513499889216e-10,1.1343763515800389e-10,4.655738713312595e-05,0.0,0.9999999999545621,-3.6137056389255466,0.5,0.5,0.5,False,56,4
0,learned,sgd,3,0.0,720,0.020447999995667487,-0.4307232186253589,0.650038804511866,0.49999999999998873,0.49999999999998873,1.7,1.7,0.5413248557756688,0.20003914612163826,0.24999999999998873,2.9440867909212463,1.0000000007349987,0.002764372035296034,-5.890941781810344,0.0006910930088239774,0.007279276726598408,0.008385887180870012,0.08463365521037018,0.08460383468407719,1.001819819180312,-3.611885823373408,0.5144178030033105,0.45333852606820163,0.5498436866074375,True,56,4
0,learned,sgd,1000,3776.230261264594,19917128,1.13097562501207,-0.6809795205536138,0.506120993568923,0.7853122606481744,0.7853122606481744,1.7048315696764893,1.7048315696764893,2.955363475476968,1.3876290688010182,0.6167153467243461,2.9596780577057684,3.006113370214409,0.002679729448086724,-5.922039441761835,0.0016526302757042448,0.007279276733585513,0.008385887188906876,0.08463365525092566,0.08460383472462478,1.0014933707155347,-14.54272989733794,0.7774500566943336,0.1998378672799073,0.8002134677221877,True,56,4
0,learned,sgd,2000,6316.300135017985,45778784,2.16345191700384,-0.6857080477262372,0.5037334359623157,0.8538439455169449,0.8538439455169449,1.7063097772599911,1.7063097772599911,3.4992576027777913,1.3873962819783487,0.7290494832959435,2.9644596820419005,3.529029790211919,0.002654292374728748,-5.93157718533837,0.0019351104843123566,0.007279276734578691,0.00838588719004568,0.08463365525667425,0.08460383473037499,1.001503799417288,-17.323828327161284,0.7869114750063303,0.1998346787469312,0.8001762490557661,True,56,4
0,learned,sgd,3000,8280.582358251637,76406904,3.199292917008279,-0.6873353739547636,0.5029143639592203,0.8918152814535939,0.8918152814535939,1.7071731869350386,1.7071731869350386,3.7817252076231287,1.3872169226347737,0.7953344962341529,2.9672550856576727,3.8042528945383753,0.002639533203724159,-5.937153194228992,0.0020993118108772737,0.007279276734953498,0.008385887190476629,0.08463365525885057,0.08460383473255084,1.0015218388617788,-18.78648250995874,0.7901374367038381,0.19985725371297608,0.8001475689894736,True,56,4
0,learned,sgd,4000,9904.240851134537,111149260,4.220444292004686,-0.6881814521277985,0.5024890390474032,0.9176982522008592,0.9176982522008592,1.7077796156761846,1.7077796156761846,3.967109621356342,1.387101713481368,0.8421700820925118,2.969219578392369,3.985860777831447,0.0026292100758266187,-5.941071829303701,0.0022142420653973624,0.007279276735144838,0.00838588719069677,0.08463365525996147,0.08460383473366224,1.001538033922235,-19.75140021266759,0.7918097777049307,0.1998736632963583,0.8001291450911431,True,56,4
0,learned,sgd,5000,11299.626091843822,149565664,5.232493541989243,-0.6887096878854813,0.5022236764623081,0.9371653245754842,0.9371653245754842,1.7082452115218691,1.7082452115218691,4.1029373393192925,1.3870218482059893,0.8782788455866726,2.97072846598583,4.119326369716453,0.0026213084379962705,-5.944081682054344,0.0023022397488499683,0.007279276735259234,0.008385887190828367,0.08463365526062512,0.08460383473432598,1.0015520097690607,-20.460447469830267,0.7928523762581666,0.1998855141654259,0.8001163725307895,True,56,4
0,learned,sgd,6000,12529.964347562545,191333260,6.265011500014225,-0.6890756214485241,0.5020399295845611,0.9526835841377512,0.9526835841377512,1.708622168866695,1.708622168866695,4.209095028290758,1.386962854270554,0.9076060114855518,2.9719504883453824,4.2238455129818995,0.0026149263978982942,-5.9465193279805595,0.0023733229183247515,0.007279276735334364,0.008385887190914801,0.08463365526106162,0.08460383473476243,1.0015641470086798,-21.015675946983496,0.7935740110981173,0.19989444396847295,0.8001069374540372,True,56,4
0,learned,sgd,7000,13634.677401213725,236201892,7.340640583017375,-0.6893466998865538,0.5019038558287846,0.9655398058208221,0.9655398058208221,1.7089383465527979,1.7089383465527979,4.29566996507582,1.3869171845124362,0.9322671166245109,2.9729757449771013,4.3092053853046695,0.0026095839283464843,-5.948564484782,0.002432829284469241,0.007279276735387142,0.008385887190975518,0.08463365526136797,0.08460383473506891,1.001574821742392,-21.469104796650278,0.7941082803125755,0.19990143769433422,0.8000996331234346,True,56,4
0,learned,sgd,8000,14640.148099390584,283970316,8.415554792009061,-0.6895571266069018,0.5017982529576951,0.9764868488267519,0.9764868488267519,1.7092103358447146,1.7092103358447146,4.368435953372478,1.386880563053237,0.9535265659315997,2.973857910829028,4.381027390639726,0.0026049957992166947,-5.950324216362869,0.002483932698693338,0.007279276735425997,0.00838588719102029,0.08463365526159397,0.08460383473529492,1.0015843278594483,-21.850607976611776,0.7945228391818614,0.19990708838618831,0.8000937758151808,True,56,4
